scenario,algo,seed,step,elapsed_ms
sample,thea,1145661099,39,0.5628
sample,thea,1145661099,40,0.5532
sample,thea,1145661099,41,0.6498
sample,thea,1145661099,42,0.5281
sample,thea,1145661099,43,0.5035
sample,thea,1145661099,44,0.4796
sample,thea,1145661099,45,0.518
sample,thea,1145661099,46,0.8189
sample,thea,1145661099,47,0.5755
sample,thea,1145661099,48,0.5933
sample,thea,1145661099,49,0.6229
sample,thea,1145661099,50,0.3265
sample,thea,1145661099,51,0.2918
sample,thea,1145661099,52,0.2707
sample,thea,1145661099,53,0.2665
sample,thea,1145661099,54,0.3163
sample,thea,1145661099,55,0.3859
sample,thea,1145661099,56,0.2935
sample,thea,1145661099,57,0.278
sample,thea,1145661099,58,0.2812
sample,thea,1145661099,59,0.2652
sample,thea,1145661099,60,0.2896
2ec_low_on,thea,1145661099,1,3.8596
2ec_low_on,thea,1145661099,2,1.8624
2ec_low_on,thea,1145661099,3,1.5217
2ec_low_on,thea,1145661099,4,1.456
2ec_low_on,thea,1145661099,5,1.4761
2ec_low_on,thea,1145661099,6,1.4502
2ec_low_on,thea,1145661099,7,1.2227
2ec_low_on,thea,1145661099,8,1.7801
2ec_low_on,thea,1145661099,9,1.2755
2ec_low_on,thea,1145661099,10,1.1592
2ec_low_off,thea,1145661099,1,2.9757
2ec_low_off,thea,1145661099,2,2.3842
2ec_low_off,thea,1145661099,3,1.305
2ec_low_off,thea,1145661099,4,1.3026
2ec_low_off,thea,1145661099,5,1.2777
2ec_low_off,thea,1145661099,6,1.2364
2ec_low_off,thea,1145661099,7,1.2411
2ec_low_off,thea,1145661099,8,1.1984
2ec_low_off,thea,1145661099,9,1.3541
2ec_low_off,thea,1145661099,10,1.2028
2ec_low_off,thea,1145661099,11,1.0705
2ec_high_on,thea,1145661099,1,7.6066
2ec_high_on,thea,1145661099,2,5.1029
2ec_high_on,thea,1145661099,3,2.6634
2ec_high_on,thea,1145661099,4,1.5879
2ec_high_on,thea,1145661099,5,1.5274
2ec_high_on,thea,1145661099,6,2.5548
2ec_high_on,thea,1145661099,7,1.7057
2ec_high_on,thea,1145661099,8,1.5654
2ec_high_off,thea,1145661099,1,3.5851
2ec_high_off,thea,1145661099,2,1.8052
2ec_high_off,thea,1145661099,3,1.6015
2ec_high_off,thea,1145661099,4,1.6162
2ec_high_off,thea,1145661099,5,1.6693
2ec_high_off,thea,1145661099,6,2.8523
2ec_high_off,thea,1145661099,7,1.8718
2ec_high_off,thea,1145661099,8,1.7902
2ec_high_off,thea,1145661099,9,1.4859
2ec_high_off,thea,1145661099,10,1.3288
2ec_high_off,thea,1145661099,11,2.9633
2ec_high_off,thea,1145661099,12,2.0911
2ec_high_off,thea,1145661099,13,1.4645
2ec_high_off,thea,1145661099,14,1.3096
2ec_high_off,thea,1145661099,15,1.3605
2ec_high_off,thea,1145661099,16,1.6196
2ec_high_off,thea,1145661099,17,1.5158
2ec_high_off,thea,1145661099,18,1.3614
2ec_high_off,thea,1145661099,19,1.3125
2ec_high_off,thea,1145661099,20,1.6643
2ec_high_off,thea,1145661099,21,1.5017
2ec_high_off,thea,1145661099,22,1.36
2ec_high_off,thea,1145661099,23,1.3713
2ec_high_off,thea,1145661099,24,1.3796
2ec_high_off,thea,1145661099,25,1.3912
2ec_high_off,thea,1145661099,26,2.4043
2ec_high_off,thea,1145661099,27,2.5754
2ec_high_off,thea,1145661099,28,1.5049
2ec_high_off,thea,1145661099,29,1.4595
2ec_high_off,thea,1145661099,30,1.323
2ec_high_off,thea,1145661099,31,3.0404
2ec_high_off,thea,1145661099,32,1.3343
2ec_high_off,thea,1145661099,33,1.4941
2ec_high_off,thea,1145661099,34,1.3761
2ec_high_off,thea,1145661099,35,1.355
2ec_high_off,thea,1145661099,36,1.5163
2ec_high_off,thea,1145661099,37,2.5086
2ec_high_off,thea,1145661099,38,1.5024
2ec_high_off,thea,1145661099,39,1.4641
2ec_high_off,thea,1145661099,40,1.4409
2ec_high_off,thea,1145661099,41,1.639
2ec_high_off,thea,1145661099,42,5.1455
2ec_high_off,thea,1145661099,43,1.9935
2ec_high_off,thea,1145661099,44,1.4136
2ec_high_off,thea,1145661099,45,1.3587
2ec_high_off,thea,1145661099,46,1.2953
2ec_high_off,thea,1145661099,47,1.5211
2ec_high_off,thea,1145661099,48,1.3195
2ec_high_off,thea,1145661099,49,1.3229
2ec_high_off,thea,1145661099,50,1.2924
2ec_high_off,thea,1145661099,51,2.9809
2ec_high_off,thea,1145661099,52,2.679
2ec_high_off,thea,1145661099,53,2.0183
2ec_high_off,thea,1145661099,54,1.3977
2ec_high_off,thea,1145661099,55,2.305
2ec_high_off,thea,1145661099,56,1.3892
2ec_high_off,thea,1145661099,57,1.4051
2ec_high_off,thea,1145661099,58,1.2861
2ec_high_off,thea,1145661099,59,1.2979
2ec_high_off,thea,1145661099,60,1.2789
sample,thea,1835732737,1,0.9316
sample,thea,1835732737,2,0.3531
sample,thea,1835732737,3,0.269
sample,thea,1835732737,4,0.2785
sample,thea,1835732737,5,0.2562
sample,thea,1835732737,6,0.3184
sample,thea,1835732737,7,0.6625
sample,thea,1835732737,8,0.2984
sample,thea,1835732737,9,0.2723
sample,thea,1835732737,10,0.2656
sample,thea,1835732737,11,0.2631
sample,thea,1835732737,12,0.2621
sample,thea,1835732737,13,0.264
sample,thea,1835732737,14,0.2732
sample,thea,1835732737,15,0.3024
sample,thea,1835732737,16,0.2599
sample,thea,1835732737,17,0.2597
sample,thea,1835732737,18,0.2651
sample,thea,1835732737,19,0.2573
sample,thea,1835732737,20,0.2557
sample,thea,1835732737,21,1.0156
sample,thea,1835732737,22,0.3292
sample,thea,1835732737,23,0.6856
sample,thea,1835732737,24,0.2909
sample,thea,1835732737,25,0.2743
sample,thea,1835732737,26,0.2631
sample,thea,1835732737,27,0.2646
sample,thea,1835732737,28,0.2676
sample,thea,1835732737,29,0.3312
sample,thea,1835732737,30,0.2607
sample,thea,1835732737,31,0.2632
sample,thea,1835732737,32,0.2668
sample,thea,1835732737,33,0.2634
sample,thea,1835732737,34,0.2617
sample,thea,1835732737,35,0.2724
sample,thea,1835732737,36,0.6358
sample,thea,1835732737,37,0.3248
sample,thea,1835732737,38,0.2867
sample,thea,1835732737,39,0.2688
sample,thea,1835732737,40,0.2642
sample,thea,1835732737,41,0.2812
sample,thea,1835732737,42,0.2701
sample,thea,1835732737,43,0.2621
sample,thea,1835732737,44,0.2738
sample,thea,1835732737,45,0.2569
sample,thea,1835732737,46,0.2509
sample,thea,1835732737,47,0.2502
sample,thea,1835732737,48,0.253
sample,thea,1835732737,49,0.2494
sample,thea,1835732737,50,0.4193
sample,thea,1835732737,51,0.689
sample,thea,1835732737,52,0.2978
sample,thea,1835732737,53,0.2861
sample,thea,1835732737,54,0.2591
sample,thea,1835732737,55,0.2726
sample,thea,1835732737,56,0.2628
sample,thea,1835732737,57,0.2673
sample,thea,1835732737,58,0.2635
sample,thea,1835732737,59,0.269
sample,thea,1835732737,60,0.2539
2ec_low_on,thea,1835732737,1,2.8441
2ec_low_on,thea,1835732737,2,1.3661
2ec_low_on,thea,1835732737,3,1.2971
2ec_low_on,thea,1835732737,4,1.2667
2ec_low_on,thea,1835732737,5,1.0986
2ec_low_on,thea,1835732737,6,1.1015
2ec_low_on,thea,1835732737,7,1.1266
2ec_low_on,thea,1835732737,8,1.091
2ec_low_on,thea,1835732737,9,1.067
2ec_low_on,thea,1835732737,10,1.0452
2ec_low_off,thea,1835732737,1,2.3962
2ec_low_off,thea,1835732737,2,1.3489
2ec_low_off,thea,1835732737,3,1.0962
2ec_low_off,thea,1835732737,4,1.0362
2ec_low_off,thea,1835732737,5,0.8947
2ec_low_off,thea,1835732737,6,0.9548
2ec_low_off,thea,1835732737,7,0.9181
2ec_low_off,thea,1835732737,8,1.0985
2ec_low_off,thea,1835732737,9,0.9512
2ec_high_on,thea,1835732737,1,2.8662
2ec_high_on,thea,1835732737,2,1.9205
2ec_high_on,thea,1835732737,3,1.2634
2ec_high_on,thea,1835732737,4,1.1889
2ec_high_on,thea,1835732737,5,1.1594
2ec_high_on,thea,1835732737,6,1.2223
2ec_high_on,thea,1835732737,7,1.1627
2ec_high_on,thea,1835732737,8,1.2184
2ec_high_off,thea,1835732737,1,2.4888
2ec_high_off,thea,1835732737,2,1.3711
2ec_high_off,thea,1835732737,3,1.3405
2ec_high_off,thea,1835732737,4,1.2625
2ec_high_off,thea,1835732737,5,1.9855
2ec_high_off,thea,1835732737,6,1.3805
2ec_high_off,thea,1835732737,7,2.8901
2ec_high_off,thea,1835732737,8,2.1336
2ec_high_off,thea,1835732737,9,1.0709
2ec_high_off,thea,1835732737,10,1.0503
2ec_high_off,thea,1835732737,11,1.0234
2ec_high_off,thea,1835732737,12,0.9923
2ec_high_off,thea,1835732737,13,1.012
2ec_high_off,thea,1835732737,14,0.9972
2ec_high_off,thea,1835732737,15,1.0113
2ec_high_off,thea,1835732737,16,1.0042
2ec_high_off,thea,1835732737,17,1.0244
2ec_high_off,thea,1835732737,18,1.0704
2ec_high_off,thea,1835732737,19,1.03
2ec_high_off,thea,1835732737,20,0.9941
2ec_high_off,thea,1835732737,21,1.0336
2ec_high_off,thea,1835732737,22,0.985
2ec_high_off,thea,1835732737,23,1.0044
2ec_high_off,thea,1835732737,24,0.9954
2ec_high_off,thea,1835732737,25,1.0042
2ec_high_off,thea,1835732737,26,0.9862
2ec_high_off,thea,1835732737,27,1.1366
2ec_high_off,thea,1835732737,28,1.1026
2ec_high_off,thea,1835732737,29,1.0344
2ec_high_off,thea,1835732737,30,1.0026
2ec_high_off,thea,1835732737,31,1.0176
2ec_high_off,thea,1835732737,32,1.0009
2ec_high_off,thea,1835732737,33,1.0428
2ec_high_off,thea,1835732737,34,0.9624
2ec_high_off,thea,1835732737,35,1.6502
2ec_high_off,thea,1835732737,36,1.7749
2ec_high_off,thea,1835732737,37,1.0237
2ec_high_off,thea,1835732737,38,1.0651
2ec_high_off,thea,1835732737,39,1.0218
2ec_high_off,thea,1835732737,40,1.0085
2ec_high_off,thea,1835732737,41,1.0134
2ec_high_off,thea,1835732737,42,0.9892
2ec_high_off,thea,1835732737,43,1.0866
2ec_high_off,thea,1835732737,44,1.0476
2ec_high_off,thea,1835732737,45,0.9867
2ec_high_off,thea,1835732737,46,0.9877
2ec_high_off,thea,1835732737,47,0.9908
2ec_high_off,thea,1835732737,48,0.9695
2ec_high_off,thea,1835732737,49,1.022
2ec_high_off,thea,1835732737,50,0.9978
2ec_high_off,thea,1835732737,51,1.0322
2ec_high_off,thea,1835732737,52,0.9738
2ec_high_off,thea,1835732737,53,1.0107
2ec_high_off,thea,1835732737,54,0.9654
2ec_high_off,thea,1835732737,55,0.9817
2ec_high_off,thea,1835732737,56,0.9693
2ec_high_off,thea,1835732737,57,0.9778
2ec_high_off,thea,1835732737,58,0.9892
2ec_high_off,thea,1835732737,59,1.0366
2ec_high_off,thea,1835732737,60,0.9676
sample,thea,794161987,1,1.6493
sample,thea,794161987,2,0.5421
sample,thea,794161987,3,0.3082
sample,thea,794161987,4,1.1977
sample,thea,794161987,5,0.326
sample,thea,794161987,6,0.4003
sample,thea,794161987,7,0.5828
sample,thea,794161987,8,0.5341
sample,thea,794161987,9,0.299
sample,thea,794161987,10,0.2778
sample,thea,794161987,11,0.3264
sample,thea,794161987,12,0.2854
sample,thea,794161987,13,0.3344
sample,thea,794161987,14,0.5841
sample,thea,794161987,15,0.5226
sample,thea,794161987,16,0.5011
sample,thea,794161987,17,0.5775
sample,thea,794161987,18,0.7029
sample,thea,794161987,19,0.7487
sample,thea,794161987,20,0.5814
sample,thea,794161987,21,0.555
sample,thea,794161987,22,0.55
sample,thea,794161987,23,0.5535
sample,thea,794161987,24,0.5415
sample,thea,794161987,25,0.3702
sample,thea,794161987,26,0.9738
sample,thea,794161987,27,0.644
sample,thea,794161987,28,0.649
sample,thea,794161987,29,0.3694
sample,thea,794161987,30,0.6281
sample,thea,794161987,31,0.342
sample,thea,794161987,32,0.9345
