Object,Time Step,Instance ID,Coordinates,Base Station,Delays,Delay slas,Delay sla deadlines,Communication Paths,Making Requests,Access History
User_1,0,1,"[6, 0]","BaseStation_4 ([6, 0])",,22.0,,{},{'1': {'1': True}},"{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 0, 'interval': 0, 'next_access': inf}]}"
User_2,0,2,"[3, 1]","BaseStation_6 ([3, 1])",,11.0,,{},{'2': {'1': True}},"{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 0, 'interval': 0, 'next_access': inf}]}"
User_3,0,3,"[2, 2]","BaseStation_10 ([2, 2])",,15.0,,{},{'3': {'1': True}},"{'3': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 0, 'interval': 0, 'next_access': inf}]}"
User_4,0,4,"[6, 0]","BaseStation_4 ([6, 0])",,8.0,,{},{'4': {'1': True}},"{'4': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 0, 'interval': 0, 'next_access': inf}]}"
User_5,0,5,"[4, 2]","BaseStation_11 ([4, 2])",,22.0,,{},{'5': {'1': True}},"{'5': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 0, 'interval': 0, 'next_access': inf}]}"
User_6,0,6,"[3, 3]","BaseStation_14 ([3, 3])",,16.0,,{},{'6': {'1': True}},"{'6': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 0, 'interval': 0, 'next_access': inf}]}"
User_1,1,1,"[6, 0]","BaseStation_4 ([6, 0])",,22.0,,{},"{'1': {'1': True, '2': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 1, 'interval': 0, 'next_access': inf}]}"
User_2,1,2,"[3, 1]","BaseStation_6 ([3, 1])",,11.0,,{},"{'2': {'1': True, '2': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 1, 'interval': 0, 'next_access': inf}]}"
User_3,1,3,"[2, 2]","BaseStation_10 ([2, 2])",,15.0,,{},"{'3': {'1': True, '2': True}}","{'3': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 1, 'interval': 0, 'next_access': inf}]}"
User_4,1,4,"[6, 0]","BaseStation_4 ([6, 0])",,8.0,,{},"{'4': {'1': True, '2': True}}","{'4': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 1, 'interval': 0, 'next_access': inf}]}"
User_5,1,5,"[4, 2]","BaseStation_11 ([4, 2])",,22.0,,{},"{'5': {'1': True, '2': True}}","{'5': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 1, 'interval': 0, 'next_access': inf}]}"
User_6,1,6,"[3, 3]","BaseStation_14 ([3, 3])",,16.0,,{},"{'6': {'1': True, '2': True}}","{'6': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 1, 'interval': 0, 'next_access': inf}]}"
User_1,2,1,"[6, 0]","BaseStation_4 ([6, 0])",10.0,22.0,12.0,{'1': [[]]},"{'1': {'1': True, '2': True, '3': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 2, 'interval': 0, 'next_access': inf}]}"
User_2,2,2,"[3, 1]","BaseStation_6 ([3, 1])",30.0,11.0,-19.0,"{'2': [[6, 3, 4]]}","{'2': {'1': True, '2': True, '3': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 2, 'interval': 0, 'next_access': inf}]}"
User_3,2,3,"[2, 2]","BaseStation_10 ([2, 2])",,15.0,,{},"{'3': {'1': True, '2': True, '3': True}}","{'3': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 2, 'interval': 0, 'next_access': inf}]}"
User_4,2,4,"[6, 0]","BaseStation_4 ([6, 0])",,8.0,,{},"{'4': {'1': True, '2': True, '3': True}}","{'4': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 2, 'interval': 0, 'next_access': inf}]}"
User_5,2,5,"[4, 2]","BaseStation_11 ([4, 2])",,22.0,,{},"{'5': {'1': True, '2': True, '3': True}}","{'5': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 2, 'interval': 0, 'next_access': inf}]}"
User_6,2,6,"[3, 3]","BaseStation_14 ([3, 3])",,16.0,,{},"{'6': {'1': True, '2': True, '3': True}}","{'6': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 2, 'interval': 0, 'next_access': inf}]}"
User_1,3,1,"[6, 0]","BaseStation_4 ([6, 0])",20.0,22.0,2.0,"{'1': [[4, 8]]}","{'1': {'1': True, '2': True, '3': True, '4': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 3, 'interval': 0, 'next_access': inf}]}"
User_2,3,2,"[3, 1]","BaseStation_6 ([3, 1])",30.0,11.0,-19.0,"{'2': [[6, 3, 4]]}","{'2': {'1': True, '2': True, '3': True, '4': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 3, 'interval': 0, 'next_access': inf}]}"
User_3,3,3,"[2, 2]","BaseStation_10 ([2, 2])",,15.0,,{},"{'3': {'1': True, '2': True, '3': True, '4': True}}","{'3': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 3, 'interval': 0, 'next_access': inf}]}"
User_4,3,4,"[6, 0]","BaseStation_4 ([6, 0])",,8.0,,{},"{'4': {'1': True, '2': True, '3': True, '4': True}}","{'4': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 3, 'interval': 0, 'next_access': inf}]}"
